"","player_name","citizenship"
"783","Gerard Piqué","Spain"
"784","Alejandro Balde","Spain"
"785","Alejandro Balde","Dominican"
"786","Marcos Alonso","Spain"
"787","Jordi Alba","Spain"
"788","Héctor Bellerín","Spain"
"789","Sergi Roberto","Spain"
"790","Sergio Busquets","Spain"
"791","Pedri","Spain"
"792","Gavi","Spain"
"793","Frenkie de Jong","Netherlands"
"794","Franck Kessié","Cote"
"795","Franck Kessié","d'Ivoire"
"796","Pablo Torre","Spain"
"797","Ansu Fati","Spain"
"798","Ansu Fati","Guinea-Bissau"
"799","Ferran Torres","Spain"
"800","Ousmane Dembélé","France"
"801","Raphinha","Brazil"
"802","Raphinha","Italy"
"803","Robert Lewandowski","Poland"
"804","Memphis Depay","Netherlands"
"805","Memphis Depay","Ghana"
"806","Jan Oblak","Slovenia"
"807","Ivo Grbic","Croatia"
"808","José María Giménez","Uruguay"
"809","José María Giménez","Spain"
"810","Mario Hermoso","Spain"
"811","Stefan Savic","Montenegro"
"812","Stefan Savic","Serbia"
"813","Felipe","Brazil"
"814","Reinildo Mandava","Mozambique"
"815","Sergio Reguilón","Spain"
"816","Nahuel Molina","Argentina"
"817","Geoffrey Kondogbia","Central"
"818","Geoffrey Kondogbia","African"
"819","Axel Witsel","Belgium"
"820","Axel Witsel","Martinique"
"821","Rodrigo de Paul","Argentina"
"822","Rodrigo de Paul","Italy"
"823","Marcos Llorente","Spain"
